NO,키워드,업체명,카테고리,전화번호,주소
1,압구정 결혼정보,제이노블 결혼정보,연애/결혼,1588-9345,서울특별시 강남구 신사동 612 4층
2,압구정 결혼정보,엔노블,연애/결혼,1577-2050,서울특별시 강남구 신사동 586-4 피코빌딩
3,압구정 결혼정보,노블리에 결혼정보 본점,연애/결혼,02-1800-1323,서울특별시 강남구 신사동 614 401호(신사동, 대언빌딩)
4,압구정 결혼정보,노블레스연 결혼정보,연애/결혼,1670-8799,서울특별시 강남구 신사동 664-7
5,압구정 결혼정보,아로하,연애/결혼,02-514-8242,서울특별시 강남구 신사동 612-1 압구정증권빌딩 6층
6,압구정 결혼정보,노블리에 결혼정보 VVIP CENTER,연애/결혼,02-542-9416,서울특별시 강남구 신사동 579 4층
7,압구정 결혼정보,라인스그룹,연애/결혼,02-1666-2564,서울특별시 강남구 신사동 541-7 3층
8,압구정 결혼정보,리리노블 결혼정보,연애/결혼,1833-6967,서울특별시 강남구 신사동 609-1 미승빌딩 6층 605호(오라클피부과건물6층)
9,압구정 결혼정보,아이오유,연애/결혼,1566-2572,서울특별시 강남구 신사동 597-5 1층
10,압구정 결혼정보,노블레스 뷰 결혼정보,연애/결혼,1800-8536,서울특별시 강남구 신사동 580 1층/3층
11,압구정 결혼정보,제이노블 결혼정보 1981매칭센터,연애/결혼,02-1800-1231,서울특별시 강남구 신사동 615 2층
12,압구정 결혼정보,노블레스봄결혼정보,연애/결혼,1599-6310,서울특별시 강남구 신사동 581
13,압구정 결혼정보,압구정블레스결혼정보,연애/결혼,02-511-7600,서울특별시 강남구 신사동 579-2 3층 302호
14,압구정 결혼정보,압구정결혼정보,연애/결혼,02-548-5995,서울특별시 강남구 신사동 614-7
15,압구정 결혼정보,노블레스뷰결혼정보신관,연애/결혼,,서울특별시 강남구 신사동 582-11
16,압구정 결혼정보,결혼의여신 주노,연애/결혼,02-515-7654,서울특별시 강남구 신사동 512-11 304
17,압구정 결혼정보,Highclassmatch,연애/결혼,02-6217-7272,서울특별시 강남구 압구정동 426
18,압구정 결혼정보,타임결혼정보회사,연애/결혼,02-518-0065,서울특별시 강남구 신사동 615
19,압구정 결혼정보,결혼정보회사 포렉스,연애/결혼,02-511-7659,서울특별시 강남구 신사동 512-11 304
20,압구정 결혼정보,노블리에 매칭연구소,생활/편의,1800-3036,서울특별시 강남구 신사동 580-2 4층
21,압구정 결혼정보,제이노블 결혼정보별관,기업/빌딩,1688-9345,서울특별시 강남구 신사동 612-2
22,압구정 결혼정보,제이노블 성형외과의원,병원/의원,02-543-3841,서울특별시 강남구 신사동  610-1 301호
23,압구정 결혼정보,퍼플스,연애/결혼,1588-3934,서울특별시 강남구 청담동 72-1 1층
24,압구정 결혼정보,노블레스수현,연애/결혼,02-540-4000,서울특별시 강남구 논현동 1
25,압구정 결혼정보,모두의지인결혼정보회사,연애/결혼,1668-1283,서울특별시 강남구 논현동 38-17 1층
26,압구정 결혼정보,노블리 결혼정보,연애/결혼,02-516-7220,서울특별시 강남구 논현동 84 송암빌딩 10층
27,압구정 결혼정보,디노블,연애/결혼,1588-2887,서울특별시 강남구 청담동 72-7 W타워 7층
28,압구정 결혼정보,노블레스청담결혼정보,연애/결혼,02-1666-8132,서울특별시 강남구 청담동 78-1 2층 2호
29,압구정 결혼정보,인연연서,연애/결혼,02-540-2007,서울특별시 강남구 논현동 118-4 5층 501-1호
30,압구정 결혼정보,에스노블,연애/결혼,02-3445-4777,서울특별시 강남구 청담동 101-7
31,압구정 결혼정보,해와달,연애/결혼,02-543-1700,서울특별시 강남구 청담동 68-19
32,압구정 결혼정보,르매리,연애/결혼,02-1588-3703,서울특별시 강남구 청담동 73-3 2층
33,압구정 결혼정보,크리스챤웨딩,연애/결혼,02-798-5811,서울특별시 용산구 한남동 257-13 수도빌딩 3층
34,압구정 결혼정보,윤앤아트,연애/결혼,02-547-1107,서울특별시 강남구 청담동 72-3
35,압구정 결혼정보,그레이스노블결혼정보,연애/결혼,02-523-5510,서울특별시 강남구 청담동 130-9 현대리버스빌딩 10층 1005호
36,압구정 결혼정보,골든브릿지 결혼정보,연애/결혼,02-541-5604,서울특별시 강남구 논현동 10-12
37,압구정 결혼정보,가연결혼정보 강남지점,연애/결혼,02-6219-5005,서울특별시 강남구 논현동 16-40
38,압구정 결혼정보,투데이월드,연애/결혼,02-583-2060,서울특별시 용산구 한남동 30-1
